ID,tag,nitrogen,type,sex,harvest,days,lnAFDM
E-6,1053,16,weevil,M,EH1,6,4.190284111
E-6,1054,16,weevil,M,EH2,21,4.211083399
E-6,1055,16,weevil,M,EH3,35,4.239551861
E-6,1056,16,weevil,M,EH1,6,4.228764209
E-6,1057,16,weevil,M,EH3,35,4.190940391
E-6,1059,16,weevil,M,EH2,21,4.302205494
E-6,1060,16,weevil,M,EH2,21,4.218061312
E-6,1061,16,weevil,M,EH3,35,4.19149605
E-6,1062,16,weevil,M,EH1,6,4.247167573
E-10 (#2488),1099,0,weevil,F,EH3,35,4.199154374
E-10 (#2488),1100,0,weevil,F,EH2,21,4.309222087
E-10 (#2488),1102,0,weevil,F,EH1,6,4.281244378
E-10 (#2488),1103,0,weevil,F,EH3,35,4.244537888
E-10 (#2488),1104,0,weevil,F,EH2,21,4.302012189
E-10 (#2488),1105,0,weevil,F,EH1,6,4.298961121
E-10 (#2488),1106,0,weevil,F,EH3,35,4.255636814
E-10 (#2488),1107,0,weevil,F,EH1,6,4.350666454
E-10 (#2488),1108,0,weevil,F,EH2,21,4.308276114
E-10 (#2488),NA,0,weevil,F,EH0,0,4.521876764
E-10 (#2488),NA,0,weevil,F,EH0,0,4.521876764
E-6,NA,16,weevil,M,EH0,0,4.50773008
E-6,NA,16,weevil,M,EH0,0,4.50773008
