ID,tree,tag,nitrogen,type,sex,harvest,days,lnAFDM,Rebar,trt
E-1 mesh abscised,E-1,NA,0,natural,F,EH0,0,4.516993507,NA,1
E-1 mesh abscised,E-1,NA,0,natural,F,EH0,0,4.516993507,NA,2
E-1 mesh abscised,E-1,1091,0,natural,F,EH1,6,4.339056718,flower1,1
E-1 mesh abscised,E-1,1093,0,natural,F,EH1,6,4.339988565,flower2,2
E-1 mesh abscised,E-1,1094,0,natural,F,EH2,21,4.33602601,flower3,1
E-1 mesh abscised,E-1,1089,0,natural,F,EH2,21,4.322501443,flower4,2
E-1 mesh abscised,E-1,1095,0,natural,F,EH3,35,4.270567642,C,1
E-1 mesh abscised,E-1,1092,0,natural,F,EH3,35,4.297122798,flower2,2
E-10 (#2488),E-10,NA,0,weevil,F,EH0,0,4.521876764,NA,3
E-10 (#2488),E-10,NA,0,weevil,F,EH0,0,4.521876764,NA,4
E-10 (#2488),E-10,NA,0,weevil,F,EH0,0,4.521876764,NA,5
E-10 (#2488),E-10,1102,0,weevil,F,EH1,6,4.281244378,A,3
E-10 (#2488),E-10,1105,0,weevil,F,EH1,6,4.298961121,A,4
E-10 (#2488),E-10,1107,0,weevil,F,EH1,6,4.350666454,flower3,5
E-10 (#2488),E-10,1104,0,weevil,F,EH2,21,4.302012189,C,3
E-10 (#2488),E-10,1100,0,weevil,F,EH2,21,4.309222087,flower5,4
E-10 (#2488),E-10,1108,0,weevil,F,EH2,21,4.308276114,flower5,5
E-10 (#2488),E-10,1099,0,weevil,F,EH3,35,4.199154374,A,3
E-10 (#2488),E-10,1103,0,weevil,F,EH3,35,4.244537888,C,4
E-10 (#2488),E-10,1106,0,weevil,F,EH3,35,4.255636814,flower4,5
E-11 (alive),E-11,NA,0,natural,F,EH0,0,4.502743907,NA,6
E-11 (alive),E-11,NA,0,natural,F,EH0,0,4.519208017,NA,7
E-11 (alive),E-11,1182,0,natural,F,EH1,6,4.268640067,C,6
E-11 (alive),E-11,1183,0,natural,F,EH1,6,4.293827278,flower4,7
E-11 (alive),E-11,1187,0,natural,F,EH2,21,4.283536148,A,6
E-11 (alive),E-11,1184,0,natural,F,EH2,21,4.277099884,flower4,7
