sample,sex,type,nitrogen,AddN,dummy1,dummy2,dummy3,Harvest,Days,S,A,E,H,D`,Insect%,Nonins%,DipChi,EphLep,Ostracod,PleNem,TriHyd,TriLep,DipChi%,EphLep%,Ostracod%,PleNem%,TriLep%,CG,FI,PH,PR,SC,SH,CG%,FI%,PH%,PR%,SC%,SH%,EPT%,ASEPT,plot,C,N,Cnmolar,CT,Brich,Bshan,Bsimp,Frich,Fshan,Fsimp,k
1053,Male,Herbivore,16,yes,3,3,1,1,6,5,12,0.844,1.358,0.6806,0.5,0.5,1,0,6,0,2,0,0.083333333,0,0.5,0,0,7,0,4,0,0,1,0.583333333,0,0.333333333,0,0,0.083333333,0.416666667,0.701674124,E-6,46.325,1.245,49.39171034,11.34493471,NA,NA,NA,NA,NA,NA,0.00691
1056,Male,Herbivore,16,yes,3,3,1,1,6,3,3,1,1.099,0.6667,0.666666667,0.333333333,1,0,0,0,1,0,0.333333333,0,0,0,0,1,0,1,1,0,0,0.333333333,0,0.333333333,0.333333333,0,0,0.333333333,0.615479709,E-6,46.325,1.245,49.39171034,11.34493471,NA,NA,NA,NA,NA,NA,0.005919
1062,Male,Herbivore,16,yes,3,3,1,1,6,7,10,0.943,1.834,0.82,0.7,0.3,1,2,0,1,1,0,0.1,0.2,0,0.1,0,3,0,2,3,0,2,0.3,0,0.2,0.3,0,0.2,0.6,0.886077124,E-6,46.325,1.245,49.39171034,11.34493471,NA,NA,NA,NA,NA,NA,0.005778
1091,Female,Non-Herbivore,0,no,4,4,4,1,6,5,18,0.869,1.398,0.7099,0.777777778,0.222222222,8,3,4,0,2,0,0.444444444,0.166666667,0.222222222,0,0,15,0,2,0,0,1,0.833333333,0,0.111111111,0,0,0.055555556,0.333333333,0.615479709,E-1,45.69,0.86,62.27472509,10.09364712,NA,NA,NA,NA,NA,NA,0.005547
1093,Female,Non-Herbivore,0,no,4,4,4,1,6,5,5,1,1.609,0.8,1,0,1,1,0,1,0,0,0.2,0.2,0,0.2,0,2,0,1,0,0,2,0.4,0,0.2,0,0,0.4,0.8,1.107148718,E-1,45.69,0.86,62.27472509,10.09364712,NA,NA,NA,NA,NA,NA,0.00496
1102,Female,Herbivore,0,no,1,4,2,1,6,7,17,0.919,1.789,0.8097,0.764705882,0.235294118,1,2,2,0,4,0,0.058823529,0.117647059,0.117647059,0,0,5,0,4,3,0,5,0.294117647,0,0.235294118,0.176470588,0,0.294117647,0.647058824,0.934664264,E-10,45.425,0.995,53.41049005,11.86974768,NA,NA,NA,NA,NA,NA,0.00704
1105,Female,Herbivore,0,no,1,4,2,1,6,10,34,0.792,1.823,0.7699,0.852941176,0.147058824,3,2,4,14,6,0,0.088235294,0.058823529,0.117647059,0.411764706,0,11,0,7,0,0,15,0.323529412,0,0.205882353,0,0,0.441176471,0.764705882,1.064351683,E-10,45.425,0.995,53.41049005,11.86974768,NA,NA,NA,NA,NA,NA,0.006019
1107,Female,Herbivore,0,no,1,4,2,1,6,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,E-10,45.425,0.995,53.41049005,11.86974768,NA,NA,NA,NA,NA,NA,0.006397
1121,Male,Non-Herbivore,16,yes,6,3,3,1,6,10,68,0.845,1.945,0.8205,0.941176471,0.058823529,17,2,4,9,19,0,0.25,0.029411765,0.058823529,0.132352941,0,25,0,26,0,0,16,0.367647059,0,0.382352941,0,0,0.235294118,0.691176471,0.981568857,E-15,46.785,1.005,62.12560555,19.52644708,NA,NA,NA,NA,NA,NA,0.006011
1123,Male,Non-Herbivore,16,yes,6,3,3,1,6,7,14,0.93,1.81,0.8163,1,0,4,2,0,1,3,0,0.285714286,0.142857143,0,0.071428571,0,6,0,4,0,0,4,0.428571429,0,0.285714286,0,0,0.285714286,0.714285714,1.006853685,E-15,46.785,1.005,62.12560555,19.52644708,NA,NA,NA,NA,NA,NA,0.003937
1130,Male,Non-Herbivore,8,yes,5,2,3,1,6,5,20,0.87,1.399,0.72,0.6,0.4,7,3,7,0,0,0,0.35,0.15,0.35,0,0,18,0,2,0,0,0,0.9,0,0.1,0,0,0,0.25,0.523598776,E-7,44.905,0.82,66.61819537,16.02934745,NA,NA,NA,NA,NA,NA,0.004457
1142,Male,Non-Herbivore,8,yes,5,2,3,1,6,5,20,0.811,1.305,0.68,1,0,0,3,0,1,6,0,0,0.15,0,0.05,0,3,0,15,0,0,2,0.15,0,0.75,0,0,0.1,1,1.570796327,E-17,45.64,0.89,59.9644656,14.4096423,NA,NA,NA,NA,NA,NA,0.010578
1143,Male,Non-Herbivore,8,yes,5,2,3,1,6,3,6,0.921,1.011,0.6111,1,0,2,3,0,1,0,0,0.333333333,0.5,0,0.166666667,0,5,0,0,0,0,1,0.833333333,0,0,0,0,0.166666667,0.666666667,0.955316618,E-17,45.64,0.89,59.9644656,14.4096423,NA,NA,NA,NA,NA,NA,0.006854
1148,Female,Non-Herbivore,8,yes,5,5,4,1,6,7,20,0.878,1.709,0.79,0.85,0.15,6,1,0,0,4,0,0.3,0.05,0,0,0,7,0,4,2,1,6,0.35,0,0.2,0.1,0.05,0.3,0.55,0.835481874,E-2,47.555,0.64,87.10492277,11.27436854,NA,NA,NA,NA,NA,NA,0.009422
1150,Female,Non-Herbivore,8,yes,5,5,4,1,6,3,9,0.966,1.061,0.642,0.777777778,0.222222222,3,4,2,0,0,0,0.333333333,0.444444444,0.222222222,0,0,9,0,0,0,0,0,1,0,0,0,0,0,0.444444444,0.729727656,E-2,47.555,0.64,87.10492277,11.27436854,NA,NA,NA,NA,NA,NA,0.007779
1163,Female,Non-Herbivore,16,yes,6,6,4,1,6,2,2,1,0.693,0.5,1,0,0,1,0,0,0,0,0,0.5,0,0,0,1,0,0,0,0,1,0.5,0,0,0,0,0.5,1,1.570796327,E-9,46.995,1.03,54.81914084,9.538657131,NA,NA,NA,NA,NA,NA,0.004814
1182,Female,Non-Herbivore,0,no,4,4,4,1,6,7,24,0.868,1.69,0.7882,0.875,0.125,7,1,3,1,6,0,0.291666667,0.041666667,0.125,0.041666667,0,11,0,11,0,0,1,0.458333333,0,0.458333333,0,0,0.041666667,0.583333333,0.869122203,E-11,44.425,0.67,77.6006552,14.07957503,NA,NA,NA,NA,NA,NA,0.00338
1183,Female,Non-Herbivore,0,no,4,4,4,1,6,4,10,0.88,1.221,0.66,0.9,0.1,5,0,1,2,2,0,0.5,0,0.1,0.2,0,6,0,2,0,0,2,0.6,0,0.2,0,0,0.2,0.4,0.684719203,E-11,44.425,0.67,77.6006552,14.07957503,NA,NA,NA,NA,NA,NA,0.006115
1211,Male,Non-Herbivore,0,no,4,1,3,1,6,5,9,0.946,1.523,0.7654,0.888888889,0.111111111,2,2,1,1,0,0,0.222222222,0.222222222,0.111111111,0.111111111,0,5,0,0,0,0,4,0.555555556,0,0,0,0,0.444444444,0.666666667,0.955316618,E-14,45.26,0.79,66.86928009,14.60507574,NA,NA,NA,NA,NA,NA,0.009803
1214,Male,Non-Herbivore,0,no,4,1,3,1,6,5,19,0.725,1.167,0.615,0.684210526,0.315789474,10,1,6,0,1,0,0.526315789,0.052631579,0.315789474,0,0,17,0,2,0,0,0,0.894736842,0,0.105263158,0,0,0,0.157894737,0.408637855,E-14,45.26,0.79,66.86928009,14.60507574,NA,NA,NA,NA,NA,NA,0.009459
1234,Female,Non-Herbivore,16,yes,6,6,4,1,6,5,15,0.845,1.361,0.6933,1,0,0,3,0,1,0,0,0,0.2,0,0.066666667,0,3,0,7,1,0,1,0.2,0,0.466666667,0.066666667,0,0.066666667,0.933333333,1.309638916,E-3,45.565,0.76,73.57219201,11.92735075,NA,NA,NA,NA,NA,NA,0.012215
1237,Female,Non-Herbivore,16,yes,6,6,4,1,6,6,26,0.916,1.642,0.787,0.884615385,0.115384615,3,0,3,5,8,0,0.115384615,0,0.115384615,0.192307692,0,6,0,14,0,0,5,0.230769231,0,0.538461538,0,0,0.192307692,0.769230769,1.069703314,E-3,45.565,0.76,73.57219201,11.92735075,NA,NA,NA,NA,NA,NA,0.011143
